true_A (Shape),true_w (Loss Aversion),true_a (Learning Rate),true_c (Consistency),kl_div_A (Shape),post_std_A (Shape),ess_A (Shape),kl_div_w (Loss Aversion),post_std_w (Loss Aversion),ess_w (Loss Aversion),kl_div_a (Learning Rate),post_std_a (Learning Rate),ess_a (Learning Rate),kl_div_c (Consistency),post_std_c (Consistency),ess_c (Consistency),post_corr_A (Shape)_w (Loss Aversion),post_corr_A (Shape)_a (Learning Rate),post_corr_A (Shape)_c (Consistency),post_corr_w (Loss Aversion)_a (Learning Rate),post_corr_w (Loss Aversion)_c (Consistency),post_corr_a (Learning Rate)_c (Consistency),max_post_corr,mean_kl_div,min_ess
0.726195457647178,1.074158195607053,0.035932272478492,3.764393650308798,0.4528604166301904,0.1683564158783166,190.9542039116101,1.4637733319689414,0.2930521835343066,184.6784151233693,0.4928047863740034,0.1935762502931677,259.28205525821073,0.0944707068112964,1.223643345976183,207.4766367109843,-0.5472530208995793,-0.2488805671953825,-0.1959815129403882,-0.5780042245625651,0.2854514108801817,-0.1207257680944512,0.5780042245625651,0.6259773104461079,184.6784151233693
0.3012644243642504,2.834810064037204,0.8381059588874472,0.0635611711621958,1.6471340400037342,0.0593323219089845,300.7224500834714,0.160747190045742,1.1765218215002593,215.7132200375332,0.2229804993204909,0.2112292872972841,296.38274478084094,1.294718589153306,0.4045524891190165,222.4431368180681,0.0202839158288102,-0.1025973433068368,-0.3722352240061687,-0.0010362111543188,-0.7218918581287155,-0.2094209112826697,0.7218918581287155,0.8313950796308183,215.7132200375332
0.549075255347399,1.866918285170912,0.3007340765211876,3.612331792018464,0.9706977643119488,0.0916542120716234,451.34636027126913,1.992903980070104,0.1666789862369238,455.37049854057545,1.0987465439586066,0.0813390289496378,444.2191492849869,0.134145566536376,1.1585210024450796,442.6407221815479,0.7637145062479058,-0.963025573098027,-0.5664756242676241,-0.7909799017549756,-0.4686759245590642,0.4773440386011795,0.963025573098027,1.0491234637192588,442.6407221815479
0.2728926606633248,4.900276091870722,0.994830675136194,0.9406488919658196,0.5867357928096236,0.1517307177846825,231.0534919283859,0.2598707375967137,1.020722670063142,229.4892827303921,1.760935614532518,0.0586516436955942,313.94513020636776,0.0643621248728276,1.334229815051427,220.79788247603423,-0.5155317585635697,-0.424839863789018,-0.7426996915381664,-0.0357992988803404,0.0658970475021175,0.3670314011674515,0.7426996915381664,0.6679760674529207,220.79788247603423
0.2577162308680605,2.066943402535815,0.6544526604464348,2.9126477551675563,1.4823926778417864,0.0547342052712982,317.4998704687676,0.4851880158955894,0.8657393206234477,344.8602075229475,1.0781534341694108,0.0822004384869656,343.5833146515997,0.2926326900877203,0.9991353900807904,362.1114835888811,-0.5581084756914647,-0.9327116594417804,-0.3465958485898265,0.5113516736655479,-0.2681904372774505,0.2687629088036628,0.9327116594417804,0.8345917044986269,317.4998704687676
0.4341714153844203,0.6547034965724522,0.7478001576968301,3.881297222652746,0.5047582982019688,0.1613614594546159,333.144326970451,1.9996603026938304,0.1667419333377935,330.31970104931696,0.0857552984766478,0.2318500108686952,325.4218932467253,0.0645824806931112,1.2555229613653625,259.7751602371185,-0.3728262637738889,-0.2957962180352469,-0.2404519109603221,-0.689577346631285,0.2239075960486435,-0.0300127023219183,0.689577346631285,0.6636890950163895,259.7751602371185
0.4144213565695289,2.82174064405109,0.928845109961943,0.1772551136614432,1.0031731544141456,0.0891838408574137,298.5787692225637,0.4189296475751471,0.91089342358841,233.1849213759238,1.5676444710001192,0.0645573591298341,292.8868013560756,2.461528397063057,0.125449714942454,238.35816301888428,-0.2315722245313266,-0.0543765783479722,-0.6475388350703807,-0.1441847254339866,-0.4205294510063227,0.0330010645056511,0.6475388350703807,1.3628189175131171,233.1849213759238
0.9918369392938252,1.3190654955321937,0.8195164970530835,4.748710902284586,0.3800026943556258,0.183810510449676,209.6056046895401,0.2245066087415708,1.0655363043048305,309.2133645297574,0.7022713800828556,0.1396571441545237,327.7234082289136,0.0087823006145972,1.334430976043644,266.71357270548793,-0.1731661196822366,-0.3639524608576706,-0.1836715132881302,-0.109246369125453,-0.0406702241488003,0.0671837230433011,0.3639524608576706,0.3288907459486624,209.6056046895401
0.4898165621356549,2.7956718708324417,0.4470440204122397,1.0509402670699877,0.4451909704112604,0.1644975491752591,208.5385112288708,0.7516751968820606,0.5898682496916846,307.6897934738591,0.4278221781033649,0.1845740403383714,215.42934640881583,1.6253601859627964,0.3079930322064784,280.83734396357204,0.3588797738802191,-0.9090956548833288,-0.5650342707088607,-0.4623431675183129,-0.4391725418307274,0.4217704185713976,0.9090956548833288,0.8125121328398706,208.5385112288708
0.2440807384202824,0.7587811722679115,0.7079485324513194,4.587942485522776,1.704852731867672,0.0452781932336102,416.9120407308723,2.658300477369923,0.084811581496515,454.73705973101545,1.0589706087605535,0.0835749176708366,387.19278841955935,0.4381370124159671,0.8415254882206784,439.4940422873034,-0.0610020847714791,-0.583327888498779,-0.775851021408941,-0.507623030056927,0.1809957026263745,0.3052902962900473,0.775851021408941,1.4650652076035289,387.19278841955935
0.8970124061503378,1.1289739099765683,0.0275589920087826,1.01690811849624,0.127703277182023,0.2318442988880071,265.4290558537289,1.2022977403454886,0.5026140236803223,282.3247333865681,0.1035890771551967,0.2579636818662728,242.2636940918653,0.1268697296097498,1.2087350384860114,294.70373423992754,-0.1902609049102665,-0.0970382071189328,-0.3627786500387594,-0.5503663497290677,0.2512630993256642,-0.0767340777089741,0.5503663497290677,0.3901149560731146,242.2636940918653
0.9759987716408356,4.915106827282426,0.965485592372699,4.036120456239976,0.4679531801973158,0.1755951774180779,288.03572404276485,0.2159522978905652,1.0984098354467364,304.52440819961504,0.6199746005347236,0.1454943675386517,286.7618793238406,0.0028136624491907,1.3856757721580697,271.92580366123286,-0.1069382338027839,-0.3527471763907814,-0.1027846989335636,-0.1517784361795419,-0.0513620559410284,0.0703482204414265,0.3527471763907814,0.3266734352679489,271.92580366123286
0.651124444209713,4.702554837228701,0.6758434938833607,2.4377449396409228,0.4155575840361785,0.1815805752341768,327.09112006046433,0.257409794135423,1.0671301233826531,250.0085541379052,0.6409917529321918,0.143190596478574,265.6325432335243,0.0085578084216881,1.3315180894044794,282.5027633974236,-0.0667599113284417,-0.3633067782716512,-0.1516855700029783,-0.1791531410417908,-0.0066918871204569,-0.0241142223871116,0.3633067782716512,0.3306292348813703,250.0085541379052
0.2612005056519165,3.976436335843745,0.3982234261490071,4.307458676596563,0.9292660127254876,0.0974688990115822,367.25830971485146,0.5847339892685324,0.7515358032338193,342.1476629628124,0.9315446939032326,0.0980064556681925,361.4545840726735,0.3834086125245213,0.9163887972290352,314.7311896360891,-0.0128005218363264,-0.9612788036777764,-0.205159379848021,-0.0282036287699448,-0.1748636307325389,0.2188999930105612,0.9612788036777764,0.7072383271054434,314.7311896360891
0.2063198502322282,4.805503931227392,0.6620875288587281,1.836782879894672,1.391700647689166,0.0613139866758341,364.34629257061374,0.9792414653241204,0.5612664716693824,405.1867651989979,0.9484070034523694,0.0931867959488661,360.7823578547847,0.4791398845158465,0.8122854091891332,397.5252928945523,-0.1247876390558795,-0.9379967387983982,-0.7462663958158597,0.0904247890647124,-0.0111394670470157,0.7203725691053783,0.9379967387983982,0.9496222502453756,360.7823578547847
0.4727528364707735,1.9258017291176468,0.6178107782070552,1.1008507226567243,0.2744989931496666,0.1928908306787375,189.93175424411223,0.4031819989143481,0.8916496155387759,228.6478486296901,0.351834854123264,0.1859760078241085,189.4651701284718,0.0682033834500945,1.2590957086162424,201.05134292759368,-0.0992237376159189,-0.9679200518715286,-0.3367005489679947,0.0606245816455318,-0.0981813894138835,0.2748698220643711,0.9679200518715286,0.2744298074093433,189.4651701284718
0.1493247292788714,1.4749869818115515,0.4235421275978135,1.0337572390932233,2.17511684522439,0.0355891073612671,369.9748873513536,1.4121812223088757,0.3235325056758551,337.0804060461177,0.721769472367671,0.1168478936194087,439.922185352127,0.638501730559748,0.6446667175475161,304.2958078490996,0.1135215847532971,-0.1481736843963812,-0.5813835694710106,-0.4261647150700023,-0.6834379675736361,0.1368508389457983,0.6834379675736361,1.2368923176151712,304.2958078490996
