A (Shape),w (Loss Aversion),a (Learning Rate),c (Consistency),Pattern
0.286871743069562,1.986039802587789,0.3655956209708031,1.902536111049518,GOB
0.314259939723851,4.917267430185733,0.17894101863488,4.195342006128972,GOB
0.1455578899804811,4.320048188899756,0.2862016145907872,3.383092512194203,GOB
0.5652046467622517,0.2581813027050601,0.78370810267509,4.33959377366274,BOG
0.2003665073730799,4.180705732293135,0.956087500304206,1.820891589175004,GOB
0.6825314808242507,0.5409493417181656,0.3462598834732712,4.404242707729316,GOB
0.519826541241711,1.866429167388168,0.4171598593709696,3.957966322165021,GOB
0.7236659091114229,3.4683832758276245,0.927727564068194,3.4266985906740817,GOB
0.3743545708967831,2.4298552316927067,0.4061072074798039,4.729100570501186,GOB
0.5292942183764944,0.6438113949882754,0.0884513037809845,0.2434216327658259,GOB
0.7552725871377481,2.8304685583757405,0.1853717861293029,1.6120379609150106,GOB
0.4695369289326894,4.455989390244954,0.1268861944222509,0.9408116383634684,GOB
0.1442260927360571,0.8075047606679012,0.639274154259805,3.370025653598075,BOG
0.374093681668717,1.2918853496649314,0.7310767555630119,0.1819920884475464,GOB
0.6686188086111603,1.6520770349219858,0.6558749248928426,2.8422724453988195,GOB
0.4106320268148257,0.0263730922050227,0.1925087665415157,2.5261082899747627,GOB
0.1250266680758496,4.4311992702238285,0.616488296504826,3.879473435817694,GOB
0.2834977720847722,1.858457695741782,0.3739160500426897,0.9948246214535024,GOB
0.3177891192761827,0.5663804780717875,0.7365124527505909,4.712945248179113,GOB
0.5464861156216325,1.0916770974335437,0.9459985450237968,0.8740753445921128,GOB
0.3819883897672391,1.1290475151121135,0.1913691700869861,1.5702616794812352,GOB
0.7217992089376317,4.144098923648013,0.2820207928935722,2.818487622580056,GOB
0.73335150349955,0.1555352184092703,0.2196638392408468,2.9708828338375777,BOG
0.0699979546184482,0.8009563564788265,0.5974939912259085,2.6021688644745766,GOB
0.7147666621963082,0.6775171600058443,0.0436706871581955,3.41287926005275,BOG
0.0427535525912701,2.3775556236073,0.3658754518352614,1.2170867214704937,GOB
0.3637966090799958,0.98254266396703,0.8931980011906333,4.088352779607976,GOB
0.9898783949298128,4.038792173579347,0.1297349410419353,3.542615904805446,GOB
0.7201412751636911,2.6351282344280573,0.1785703434347512,2.5013518515260653,GOB
0.4999690609443331,4.464854806730357,0.293221515362815,0.6733535931705055,GOB
0.102656860152813,2.949690436755932,0.1560301217303321,4.185406858317532,GOB
0.7440706533292418,4.0702973596433685,0.8515590035681402,2.9454693474147637,GOB
0.1647068182548088,2.203233595655707,0.8580760884200468,4.398655953905167,GOB
0.0546625791973543,3.680019239544021,0.7538145898477788,3.5344242862338824,GOB
0.5895981322736805,0.9841613699190498,0.6705436306749356,4.699228199617707,GOB
0.7822571115077639,3.2257557293300576,0.1918997387630346,4.39138229240238,GOB
0.5379681599539895,1.2315272265144652,0.2420417322888795,2.910345690775382,GOB
0.1725469975524524,3.7482279497867386,0.9700358422519806,0.3052353515436988,GOB
0.0162738491127792,3.736611478363428,0.3590056844586051,0.2476964809223283,GOB
0.5792784034913322,1.921796482949955,0.2590411528864703,0.1022143612728708,GOB
0.4386463048339388,2.561521810477644,0.2327582310221816,0.1362468380383214,GOB
0.2283428945643603,1.0061963216284011,0.2629078423202651,0.245822004447247,GOB
0.5627392073443576,0.253870393142683,0.1307778759262948,0.1944213604567149,BOG
0.9007026282404911,1.8212065761983505,0.7698911504401604,3.0510693683180303,GOB
0.4842121516654687,2.9006511425108275,0.1405138641932854,0.5878516589790024,GOB
0.3154859640140633,4.717118650877972,0.7338102706022632,4.3212801108149215,GOB
0.3767444446257866,4.576415088530732,0.6926110732670303,3.597659628372135,GOB
0.9543771309061468,2.249604710585088,0.2182871594803831,0.7642556134196262,GOB
0.9015361722525976,2.199122782852683,0.097795883855743,1.323873696604101,GOB
0.0844191631729801,1.2572568198808525,0.165658969499817,4.935491686476922,GOB
0.6545594684880734,1.5502431371511594,0.1369649452022301,1.6346296243411873,GOB
0.2621794115397833,2.767933551619609,0.4271189856163071,0.5680372100844595,GOB
0.074264619436311,2.71680690966572,0.1575393009276575,4.178142218100062,GOB
0.6442119086557134,3.432554050307344,0.5177016456888308,4.474075957473485,GOB
0.6173652342422108,1.248215882798495,0.8877132140162527,0.7100845445984575,GOB
0.4926971895156037,2.109162429424116,0.3612168536966775,0.9847078220756617,GOB
0.2630060626040867,4.173540374989113,0.4965003628292162,4.400752689086399,GOB
0.5806930694748746,2.578254719762825,0.326996551737654,3.767192533937612,GOB
0.5321847993737916,2.9892427481470527,0.8035876024223867,4.743970397331708,GOB
0.7848774538370218,0.6329900903019423,0.3179091410813511,1.479334745445175,GOB
0.0945532841777372,1.8894515588396037,0.0363603733152241,2.732430124136959,BOG
0.4640669821264072,3.249068791477872,0.5102364854471225,2.9614312057953365,GOB
0.4695639766068923,1.3802693910747312,0.4368309308073934,3.959351714009557,GOB
0.7881895032594888,2.4058522001244094,0.1056094737845768,3.601761134933635,GOB
