true_A (Shape),est_A (Shape),true_w (Loss Aversion),est_w (Loss Aversion),true_a (Learning Rate),est_a (Learning Rate),true_c (Consistency),est_c (Consistency),err_A (Shape),abs_err_A (Shape),err_w (Loss Aversion),abs_err_w (Loss Aversion),err_a (Learning Rate),abs_err_a (Learning Rate),err_c (Consistency),abs_err_c (Consistency),global_error
0.2521738015894312,0.7360932248740248,4.432828310296793,4.135748141419193,0.724410078848415,0.27159147760518493,4.2061186113263735,4.064936926010335,0.48391942328459364,0.4888074982672663,-0.29708016887760014,0.059535103983487,-0.4528186012432301,0.45739252650831325,-0.14118168531603814,0.02829292290902568,0.33633525378743095
0.2943806782847645,0.35880184102445517,2.8629703220255447,3.3596488874505064,0.4909120881490141,0.44713164974793934,4.315167556830722,2.7810589228816,0.06442116273969067,0.0650718815552431,0.4966785654249617,0.09953478265029292,-0.04378043840107476,0.04422266505159067,-1.534108633949122,0.307436599989804,0.16629373849001094
0.6395184696469127,1.0,0.3501627477660968,0.01,0.26438141669275295,0.11374776981138139,1.236645451142293,5.0,0.3604815303530873,0.3641227579324114,-0.3401627477660968,0.0681688873278751,-0.15063364688137154,0.15215519887007226,3.763354548857707,0.7541792683081576,0.426957244151228
0.41926661103639434,1.0,0.47968593541622107,0.01,0.3544757974019155,0.11374776981138139,4.947532230571091,5.0,0.5807333889636057,0.5865993827915209,-0.46968593541622106,0.09412543795916253,-0.24072802759053408,0.2431596238288223,0.05246776942890907,0.010514583051885585,0.32101230236539485
0.3733099414830779,0.45717889923263644,3.7227005861339557,2.48804214149325,0.5005442662256597,0.3926288946517561,0.15399195146226927,0.1676107532535534,0.08386895774955855,0.08471611893894802,-1.2346584446407056,0.24742654201216543,-0.10791537157390363,0.10900542583222589,0.013618801791284135,0.002729218795848524,0.14167422665774143
0.4055520171477909,1.0,0.8448019092993444,0.748289961445971,0.5830794960043914,0.25191139834282816,4.123368483218671,5.0,0.5944479828522091,0.6004525079315244,-0.09651194785337336,0.019341071714102875,-0.3311680976615632,0.33451322996117494,0.8766315167813286,0.17567765867361293,0.3548517409117531
0.8919693858204178,0.8756197214527593,4.6261458773672155,4.246347817658709,0.02614268018871354,0.03254956168109398,0.9552002281199877,0.981792008762359,-0.0163496643676585,0.016514812492584345,-0.37979805970850666,0.07611183561292718,0.006406881492380438,0.006471597467050947,0.02659178064237122,0.00532901415678782,0.03916640945278638
0.6909222221048565,0.9270088383623629,0.5173385711841224,0.01,0.05483174694168035,0.01,1.5083024698204615,4.2961197523980035,0.23608661625750638,0.23847132955303674,-0.5073385711841224,0.10167105634952352,-0.04483174694168035,0.045284592870384194,2.7878172825775422,0.558680818151812,0.30878007126441775
0.06135025282595826,0.01,0.2610815857233202,0.710739443179583,0.1536217130745036,0.022571295171607757,0.9396692330567624,5.0,-0.05135025282595826,0.051868942248442684,0.44965785745626285,0.0901117950814154,-0.13105041790289584,0.1323741594978746,4.060330766943237,0.8136935404695866,0.41546077392681335
0.8878320607951369,1.0,0.3986179298661561,0.01,0.9013337644293641,1.0,3.9926541690382282,5.0,0.11216793920486312,0.11330094869178094,-0.38861792986615606,0.07787934466255632,0.09866623557063592,0.09966286421276356,1.0073458309617718,0.20187291201638713,0.1318973619984442
0.7235064182353868,0.9993366614844249,4.740895205937733,3.3676608595472133,0.4731423028483774,0.32896163658885397,2.7966395617687887,2.268869327853133,0.27583024324903815,0.2786164073222608,-1.3732343463905194,0.2751972638057153,-0.14418066625952342,0.14563703662578123,-0.5277702339156556,0.10576557793900913,0.21549776121182102
0.5073423646394357,0.7122141294014759,4.191091571955283,3.0853907211184532,0.5664430842921233,0.23939569395049815,0.3572086195466117,1.3440206612653463,0.20487176476204016,0.2069411765273133,-1.10570085083683,0.22158333684104808,-0.32704739034162517,0.3303508993349749,0.9868120417187345,0.19775792419213115,0.24503251772995838
