$A_{rew}$ (Reward L-Rate),$A_{pun}$ (Punish L-Rate),$K$ (Decay Rate),$\beta_F$ (Freq Weight),$\beta_P$ (Perseverance),Pattern
0.34026924900864264,0.8634878087812917,1.5505455425697015,-4.066413697817333,8.472061401865531,BOG
0.5128085298193309,0.2818744933945743,2.0766816008821714,7.9368031459110355,6.03359706432455,GOB
0.940274415403233,0.7458245603916797,2.932682364365637,2.8716875664276778,-3.3401193390804,GOB
0.28037084286038066,0.8584778007840956,1.7168345122424182,3.673099266716598,9.249167635057269,GOB
0.9854793793548632,0.8843662962270425,3.581109980542882,6.837624677807884,-4.232504105366987,GOB
0.9469307869245185,0.6395816581527849,3.9308270560635576,7.8659708291936745,-9.915967097903716,GOB
0.1331344000820952,0.102275051865178,3.84200691541807,6.069661444663463,8.539492360097928,BOG
0.15750689848092908,0.9275670760920945,4.458463799586888,2.277512831880557,9.102907251233997,GOB
0.4932035162686042,0.20008212430526537,2.551705244806797,3.525345515813358,0.38465501929263013,GOB
0.4005955751554347,0.02802669553057273,0.002768719460313147,-6.319495553991615,-9.453014658026248,FOI
0.10051301834587828,0.45517965399966,3.7327865494343957,9.705289516945605,-9.754903078538861,GOB
0.8358136392160542,0.3595298189214579,4.452016582924006,2.958914903709168,-7.743683883791937,GOB
0.4688599110123629,0.05353551270016045,0.683479769932954,0.4747009734249801,3.6636237121476434,BOG
0.20316337345731042,0.2362495565548879,1.0743174184017907,0.3474025033745285,-4.827846198518165,GOB
0.16982598302434035,0.8646293714182172,3.0491410171394424,5.960349669023433,6.7891430691026,GOB
0.7817414277427204,0.7172179944170493,1.182121634266189,-0.278494353743314,-4.426068077947399,GOB
0.36671875340446025,0.4411716652590601,4.013217039869974,-1.1222797352745655,2.2955815396127814,GOB
0.10241596693114075,0.27200801715252176,3.9012019025641815,4.859600550091358,-3.488817589468325,GOB
0.5038435773671245,0.8524889812371214,1.4020207753662928,-7.333508578721423,-8.142877250134763,BOG
0.7195824408107377,0.8324548318743252,4.860680867511401,-2.9184349645155923,-7.350323957494992,GOB
0.5350479356604662,0.7567650857587288,2.4750646186304333,-2.5898705610265065,-3.348786968723002,GOB
0.7075426776901049,0.4536141362462744,1.0667156028654265,7.8633485139977815,-8.450738248293575,GOB
0.4733854402402599,0.5664758022809856,0.4587564032546414,-6.132395698020419,1.664985981748,BOG
0.5379477452040372,0.7147140885739685,4.017797911898354,-0.21674306453948589,3.145911950794533,GOB
0.5971117040384072,0.743061015807965,0.8869548268830106,7.054074034638695,-6.139837329390542,GOB
0.9180317571675297,0.923851496891297,1.432653930232512,-1.593009745162199,2.5788209042017023,GOB
0.1547389452108996,0.42573401551767337,0.8812917902776403,-5.371938274433003,4.368070533267582,GOB
0.10839418137309952,0.8947944643007556,3.1508622064640726,6.758782133894098,6.425788406983742,GOB
0.7708378432134143,0.7201895789272228,2.882383243820923,9.370324761935155,7.779338754706533,GOB
0.08797505020730972,0.8027612017198135,3.195148066842205,2.9056630885597556,-4.114940517710078,GOB
0.33407331184056316,0.8288666979736372,4.009595145035573,-0.6030400598869772,8.032287045407553,GOB
0.9652263200199083,0.4724668688441951,2.0638793446625563,-4.207584488329694,6.238565939370449,BOG
0.2338803978536942,0.3432603752290233,0.994820507927654,-5.23765427172524,-3.4337994371997773,BOG
0.14645944630898458,0.7829971668782355,3.2481486653505973,6.980501699440577,7.714642711417056,GOB
0.3368208422613001,0.6266435572462964,2.6907552034984494,1.131354983748592,-2.0203546448323344,GOB
0.7840531574298104,0.5724992392008198,0.8334823384787122,7.974037568337952,3.7338810173352694,GOB
0.16696010102449002,0.15500446120829434,3.560868245167108,7.403497344588526,-5.745137194737647,GOB
0.6793441866603865,0.08631963853344464,4.195836423122289,9.06178233379184,6.011169130986595,BOG
0.39895186435261715,0.8978643330647456,1.6468810466892596,-3.4396673936305167,-8.23328613196593,GOB
0.6514233081831943,0.5487700881064168,2.6585995487547547,5.021872455634615,1.4512510442215394,GOB
0.8886234746618555,0.038960265749406704,2.7692583853672685,-2.9356382495080924,-7.624611508488505,BOG
0.7956234350946887,0.7957390591413506,4.191949893310303,2.1506303852927573,8.176822171878015,GOB
0.9906921073345004,0.03917333261848493,0.4372063646161377,1.5530831856752965,5.608304866735628,GOB
0.759791777275257,0.5775168528756068,2.896997691227413,7.028026526006357,3.9508764144561432,GOB
0.9941972122039345,0.07216573089650932,1.058870969942818,-9.19660930684063,7.781470868747878,BOG
