$\lambda$ (Loss Aversion),$\rho$ (Perception Shape),$\alpha$ (Learning Rate),$f$ (Boredom Factor),$\beta$ (Exploration Weight)
0.1351499098742812,0.82327869480403,0.49748937135174076,0.10905672008844199,5.0
0.1651020908268088,0.7608562100056218,0.4746968673209422,0.0625743220152413,4.703031587441893
0.17430205669123128,0.7328669295319361,0.4822559785744413,0.07174751430163162,3.894656342464077
0.1440519499208494,0.7283189112633603,0.5036726545406071,0.06386219737906,3.6155263214219553
0.14942458510599213,0.776283050985395,0.4951105711847349,0.08014613142820616,4.750999632365174
0.1376814235584337,0.7912556246133452,0.5146083437780372,0.10334585100954258,4.638337728464241
0.15283145145566487,0.7870783010252308,0.46657955647415544,0.07014124467207632,4.503666083274855
0.1213958792092008,0.7675856130991463,0.5188366174590678,0.09550426061917643,4.056001316868475
0.12499684352170433,0.7579776454388356,0.5006507553213128,0.06599761004260939,4.273186852384255
0.15952050368783624,0.779715733732521,0.48844489729499363,0.08134936125640331,4.681420305773284
0.13414966247009108,0.7330388220042343,0.55558329131805,0.08388670954391471,3.778878674336233
0.1646130719740986,0.7835006350722369,0.47109659886811156,0.07899414860045456,4.825180445098529
0.12463305143869606,0.8338180341401419,0.4525808011867757,0.06427903592849364,5.0
0.15434460640185452,0.7375008528217448,0.4960205925731755,0.07586640132754349,4.058580999173093
0.12008322469691678,0.7793670156933205,0.5511363923113571,0.08116389968327847,4.769466298800764
0.13743619740295324,0.8095429782121041,0.4748937072940001,0.07036211316825247,5.0
0.1591314425753758,0.755535266668227,0.4895095483932523,0.07275151405425725,3.9351202425933245
0.1382981907918256,0.7172025416233464,0.5355765089069737,0.07258397623310836,3.436474466136384
0.1569641670955109,0.7032643715003704,0.4863207437841586,0.07030140458248921,3.201086191813345
0.13181305814792724,0.7672027440694504,0.49855464938259675,0.0640290355629027,5.0
0.12843985368006386,0.7962425279194485,0.5110882232261009,0.08086714417213482,4.7020378465485155
0.17832121323964265,0.7531236421619987,0.45635249295717584,0.06995096074550759,4.131458368035357
0.12390286825532984,0.7956358420733659,0.5175457295679,0.09765146336125873,4.403456119899459
0.1361680801081403,0.7405488503739139,0.520412523374569,0.09037161755541169,3.8077070490526372
0.15898745377540088,0.7217388728331536,0.5024531751399176,0.0814638323034983,3.7087140353451162
0.14688861904713943,0.7525466849991477,0.5170384531500063,0.07785901097780921,4.050886709581259
0.1584832766986231,0.797158765018223,0.4449530442947788,0.07703850457976637,5.0
0.15202307309413873,0.7467194943330013,0.5349961453126557,0.07428925121281665,4.227133042602234
0.1309569900806968,0.7671715675572623,0.5188425437104245,0.06751636680451517,4.371242951850599
0.14328412069618837,0.7414262842783721,0.5338871643752114,0.0893509401957842,3.8990177952906793
0.1559957085289235,0.7440551529739704,0.48320098227602903,0.07280420975003375,4.155421173280678
0.14162927647531556,0.7957198954461818,0.49427961671867726,0.08030066178625173,5.0
0.17652562911562414,0.7893639680513872,0.4635320259721635,0.0812528502712764,4.930213237773268
0.12077708705105637,0.7554775883153572,0.5404742472003565,0.086516046185954,3.9044957322796567
0.15894965798607288,0.7593311834603902,0.46547083485285456,0.07636291687788423,3.9630176682347846
0.18492036001109863,0.7555801956150346,0.4325519291070131,0.056069746199926766,4.273581646849528
0.15805877970897841,0.7782486166131407,0.473203906862881,0.09870846357900351,4.0462503162071615
0.1700822068128598,0.7456664546509812,0.47007580539416716,0.07108624737104148,4.063377085931454
0.16760641931790185,0.7762972214295661,0.46677777259428205,0.07480039686681937,4.695791113816713
0.13918668406623602,0.7414771680851358,0.4942403148483148,0.06830609242620868,3.954947966737478
0.14380735121775676,0.7672497796750414,0.49992539355101273,0.08072407693428867,4.293442032557583
0.09965577153656666,0.7938847792180715,0.5779175118836507,0.10096037000292958,5.0
0.1798917878557564,0.7294286058385089,0.47590148532629045,0.0652738337989382,3.767613836372192
0.1291392878219442,0.7929018405255891,0.5108065579951548,0.07049621267696365,4.982041760240274
0.1602687535358892,0.7756218954587324,0.4686730435896151,0.05596813317556933,5.0
0.14104690293202357,0.7642455313925685,0.49390329901168095,0.06992012467885482,4.494102180029898
0.17434103592507433,0.7675805806724082,0.4541238869146146,0.08732930142862862,4.049741045159914
0.14255729131857697,0.7832189353419147,0.4832900352773112,0.08958121070660832,4.3694139744697145
0.1658190233183273,0.7646314857864815,0.48811009853677667,0.05931332659386739,5.0
0.14801968993168627,0.6951508398320567,0.5510324691707258,0.07608564930448274,3.460667859455742
0.15300147219206583,0.788274583491513,0.4721114978160559,0.07718255188935845,4.705736363641419
0.17313929979348902,0.7726059679162872,0.4644829599643166,0.07281140128228109,4.806724382913304
0.15100512798026727,0.7139306374986273,0.5702337552125771,0.08867938755808029,3.7228209392215144
0.13772952201847474,0.7435305174379572,0.5377627172133805,0.0858039616064187,3.8546032819813503
0.15966266594282102,0.7321806844295146,0.4591086906618811,0.06858610824305453,3.556173639736355
